	CODI_VIA	TIPUS_VIA	NOM_OFICIAL	NOM_CURT	DESCRIPCIO	DATA_APROVACIO	NOMS_ANTERIORS	DISTRICTES
4433	701629	C	Carrer d'Isaac Newton	Isaac Newton	Maria Manonelles i Riera, activista política, va néixer a Mollerussa, el 20 de gener de 1913, des dels 16 anys no deixà mai de ser militant de partits comunistes i catalanistes. Durant la Guerra Civil fou miliciana del POUM. Divorciada del seu primer marit, el 1936 conegué a Josep Rovira amb qui compartí tota la seva vida. Participaren activament durant les accions militars, on Rovira comandava la Divisió 29. Maria s'exilià a França amb els seus fills, on es van retrobar. Rovira va morir el 1968. Manonelles tornà a Barcelona militant a Convergència Socialista de Catalunya, després a PSC-Congrés i finalment, amb l'unificació, al PSC. L'any 1994 assessorà Ken Loach en el rodatge de Tierra y Libertad. Va morir a Conflans-Ste-Honorine, el 16 de maig del 2004.	20/05/2011		EIXAMPLE (02)
4434	701630	Plta	Placeta d'Anna Murià	Plta Anna Murià	Beatriu de Pinós-Milany i Ballester, noble catalana, nasqué vers el 1433, probablement al castell de Milany, a Vallfogona. Esposa del seu cosí germà, Francesc Galceran de Pinós-Fenollet, de qui enviduà l'any 1475, dedicà la seva vida a la divulgació i estudi de l'obra de Ramon Llull. Llegà tots els seu béns i drets al municipi de Mallorca perquè fos ensenyat l'art lul·liana preferentment al monestir de Randa. Creà una càtedra que fou l'origen de l'actual Estudi General Lul·lià de Mallorca. Va morir l'any 1485 i fou enterrada a una capella de la catedral de Palma de Mallorca.	20/05/2011		EIXAMPLE (02)
4435	701631	Pl	Plaça de Pilar Miró	Pl Pilar Miró	Ramon-Maria Roca Sastre, jurista, nasqué a Tàrrega, l'1 de gener de 1899. Entrà al cos de Registradors de la Propietat, per oposició, als 25 anys. L'any 1932 guanyà les oposicions a Notaries i l'any següent a Jutge, exercint a Montblanc i a Cervera. L'any 1936 és nomenat Magistrat del Tribunal de Cassació de Catalunya, després de noves oposicions. A partir de 1939 començà l'exercici professional com advocat a Barcelona fins al 1944 en que guanyà, de nou, les oposicions a Notaries. Fou un gran tractadista de Dret, sent la seva obra cabdal el tractat de Derecho Hipotecario. Publicà nombroses obres i gran nombre d'articles. Rebé nombroses distincions i condecoracions. Roca Sastre va morir a Barcelona, el 27 de desembre de 1979, al seu domicili del Passeig de Gràcia, 92.	02/11/2011		LES CORTS (04)
4436	701632	Jard	Jardins de Simone de Beauvoir	Jard S Beauvoir	Francesc Pedra i Argüelles, sindicalista, nasqué a Barcelona, l'11 de març de 1914. Militant de la CNT. Amb 11 anys va mobilitzar els aprenent de la fàbrica Planell, organitzant una vaga contra la explotació. Enfrontats a l'empresa i a les forces de l'ordre públic, la vaga fou coneguda com la vaga dels nens. Van triomfar, i els aprenents van veure millorades les seves condicions de treball. S'exilià al final de la guerra civil i en retornar participà activament en la lluita contra la dictadura des del moviment sindical i veïnal de l'Hospitalet, on va residir fins a la seva mort, el 12 de juny del 2000. Visqué al carrer Miralta, 29-31 d'aquella ciutat.	02/11/2011		LES CORTS (04)
4437	701633	Jard	Jardins de Piscines i Esports	Jard Pisci Esports	Andreu-Avelí Artís i Tomàs, periodista, escriptor i dibuixant, nasqué a Barcelona, el 12 de juny de 1908, al carrer de València, 159. A partir de 1941 adoptà el pseudònim de Sempronio a la revista Destino, i després a diversos articles i llibres. Col·laborar al Diario de Barcelona i al Noticiero Universal.  Director de Tele/eXpres el 1964 i del 1966 al 1970 de Tele/Estel, primer setmanari català autoritzat pel règim. Col·laborador de La Vanguardia des del 1964 i de l'Avui des del 1976.  Escriví nombrosos llibres temàtics sobre Barcelona. Conreà també la pintura. El 1972 l'Ajuntament el nomenà cronista oficial de la ciutat i el 1991 li atorgà la Medalla d'Or al mèrit artístic. El 1987 li fou atorgada la Creu de Sant Jordi. Andreu-Avelí Artís va morir a Sitges el 2 de juliol del 2006.	19/01/2012		SARRIÀ-SANT GERVASI (05)
4438	701634	Jard	Jardins d'Oriol Martorell	Jard O Martorell	Teòleg i reformador del cristianisme, nasqué a Eisleben, Turíngia, el 10 de novembre de 1483. Agustí i doctor en teologia, s'oposà a les indulgències que atorgava l'església catòlica, al·legant que solament per la fe l'home obtindria la salvació i no comprant-la. El 31 d'octubre de 1517 publicà les 97 tesis que iniciaren el començament de la Reforma. La seva polèmica amb els teòlegs romans va provocar que fos excomunicat pel papa Lleó X, el 1520. Publicà tres escrits fonamentals del luteranisme. Fou protegit per Frederic de Saxònia. Entre 1521 i 1534 traduí la Bíblia a l'alemany. Redactà un nou catecisme i es casà amb Katharina von Bora, que havia estat monja, amb qui tingué sis fills.. Martí Luther va morir el 18 de febrer de 1546, a Eisleben.	19/01/2012		SARRIÀ-SANT GERVASI (05)
4439	701635	Camí	Camí del Cel del Tibidabo	Camí Cel Tibidabo	En reconeixement a les dones del Districte que amb llur participació activa van contribuir a la construcció i millora de Nou Barris y el conjunt de la societat veïnal.	15/07/2014		NOU BARRIS (08)
4440	701636	Plta	Placeta de Marconi	Plta Marconi	Margarita Wirsing i Bordas, llicenciada en Física i Química, pedagoga i escriptora, nasqué a Sant Feliu de Guixols, el 22 d'octubre de 1911. Filla de l'alemany Friedrich i de Rosalia. Margarita fou la primera dona llicenciada en física i química a l'Estat el 1933, professora en segon ensenyament, escollida el 1936 comissaria directora de l'institut guixolenc. Va patir dos consells de guerra i no va poder ensenyar fins a finals dels anys 40. Impulsora de l'institut d'estudis guixolencs, fou redactora en cap del 1956 al 1972 de la revista Àncora que va instituir un premi literari de poesia marinera que porta el seu nom. Es traslladà a Barcelona per motius laborals. Promogué classes nocturnes per dones obreres. Escriví molts articles amb el pseudònim L. d'Andraitx. Va morir a Barcelona, el 3 de gener de 1995.	27/03/2012		LES CORTS (04)
4441	701637	C	Carrer d'Amàlia Garcia	Amàlia Garcia	Ramon Aramon i Serra, filòleg i compositor, nasqué a Barcelona, el 8 de desembre de 1907, al carrer d'Alcolea, 23. Estudià filosofia i lletres a la UB i es doctorà a Madrid. Amplià estudis a Leipzig i Berlin. Especialista en estudis medievals, ajudant de Pompeu Fabra es dedicà a la filologia, la bibliografia i l'ensenyament de la gramàtica. Delegat de l'Institut d'Estudis Catalans a la Unió Acadèmica Internacional. Fou president d'honor de l'IEC entre 1989 i l'any 2000. Obtingué nombrosos premis, el Ramon Fuster l'any 1982, el d'Honor de les Lletres Catalanes l'any 1983, la Creu de Sant Jordi el 1983 i la Medalla d'Or de la Generalitat de Catalunya, el 1990. En la seva joventut va ser compositor de sardanes. Va morir a Barcelona el 17 de juliol del 2000.	30/03/2012		SANTS-MONTJUÏC (03)
4442	701638	C	Carrer del Síndic Rahola	Síndic Rahola	Maria Rosa Farré, pedagoga, nasqué a Barcelona, el 25 de desembre de 1916. Promotora de l'educació i de la difusió cultural a Catalunya. L'octubre de 1950creàl'associació CICF destinada a la formació humana, cultural i social de la noia. Es difongué més tard i es concretà entre gent adulta i d'ambdós sexes. Centre pioner en institucions catalanes agrupades al CIC (Cristianisme Informació i Cultura). Als anys setanta va fundar Cristianisme al segle XXI amb postures més socials i la formació professional de la dona. El 1987 va rebre la Creu de Sant Jordi. Va mori a Barcelona, el 20 d'abril del 2001.	27/03/2012		LES CORTS (04)
4443	701639	Pl	Plaça Major de Nou Barris	Pl Maj Nou Barris	Maria Teresa, novel·lista, poetessa i traductora, nasqué a Barcelona, el 9 de març de 1907. el seu pare, Blas Vernet, mestre d'escola, va saber educar la seva filla en el respecte de la llibertat i la promoció intel·lectual de les persones. Aprengué música i piano. Estudià el batxillerat i a partir de 1925 es dedicà a la novel·la i a la poesia, publicant la seva primera obra el 1926, guanyant el premi Crexells el 1934. Habitual del Club Femení d'Esports de Barcelona, també va formar part del Club dels Novel·listes i de l'Associació d'Escriptors Catalans. La Guerra Civil va truncar la seva carrera dedicant-se només a la traducció i la col·laboració amb la premsa, sense voler publicar cap més obra. Maria Teresa Vernet va morir a Barcelona, el 16 de febrer de 1974, al seu domicili del carrer de Còrsega, 472.	27/03/2012		LES CORTS (04)
4444	701640	Jard	Jardins de Villa Clara	Jard Villa Clara	Emília Miret i Soler, pianista i compositora, nasqué a Barcelona, el 10 de novembre de 1891. Estudià a l'Escola Municipal de Música. L'any 1909 va obtenir el primer premi de piano del Conservatori. El 1911, becada per l'Ajuntament de Barcelona, amplià estudis al Conservatori de Brussel·les guanyant el primer premi de piano. Després de donar diversos concerts a Bèlgica tornà a Barcelona el 1914. Actuà amb l'Orquestra Simfònica de Barcelona i en els cicles de l'Associació de Música de Cambra. Fou la primera pianista en actuar a Ràdio Barcelona des del 1925. L'any 1927 fundà la seva pròpia acadèmia de música, l'Acadèmia Miret.  El 1939 va poder participar a un concert com a solista, dirigit per Joan Lamote de Grignon abans de ser desterrat. Emília Miret va morir a Barcelona, l'1 d'agost de 1957. Era casada amb Josep Escurul.	27/03/2012		LES CORTS (04)
4445	701641	Jard	Jardins de Remedios Varó	Jard Remedios Varó	Maria Àngels Anglada, escriptora, nasqué a Vic, el 9 de març de 1930. Llicenciada en Filologia Clàssica el 1951. Establerta el 1960 a Figueres, començà a donar classes de llatí i grec. Conreà intensament la poesia i la novel·la. Traduí del grec quatre poetesses nascudes vers els anys 300 a.C. Destacà com assagista, antòloga i traductora de poetes. El 1979 guanyà el Premi Josep Pla, el 1985 el Premi Lletra d'Or i el Premi Nacional de la Crítica. El 1990 és nomenada membre de la Secció Filològica de l'Institut d'Estudis Catalans. El 1994 la Generalitat de Catalunya li concedí la Creu de Sant Jordi i el 1996 fou nomenada filla adoptiva de Figueres, ciutat on va morir el 23 d'abril de 1999.	27/03/2012		LES CORTS (04)
4446	701642	Pl	Plaça de Joan Fiveller	Pl Joan Fiveller	"Sir Winston Leonard Spencer Churchill, militar, politic i escriptor, nasqué al Palau de Blenheim, el 30 de novembre de 1874. Home d'estat d'àmplia trajectòria, gran estadista i orador, líder destacat en la Primera i Segona Guerra Mundial. Primer lord de l'almirallat i primer ministre. Cap del partit conservador. En un discurs va posar d'exemple a seguir a la població de Londres, la resistència de Barcelona durant els bombardeigs de l'aviació feixista. L'any 1953 guanyà el Premi Nobel de literatura. Casat amb Clementine Hozier, va morir a Londres, el 25 de gener de 1965.   
Data d'aprovació, 30/03/2012."	30/03/2012		SARRIÀ-SANT GERVASI (05)
4447	701643	Pl	Plaça de la Rosa dels Vents	Pl Rosa dels Vents	Enric Sagnier i Villavecchia, arquitecte, nasqué a Barcelona, el 21 de març de 1858.Autor molt prolífic, prop de 300 edificis documentats, d'estil eclèctic amb tendència clàssica i proper a l'estil modernista. Fou diputat provincial en dues ocasions, representant un grup catòlic afí a la Lliga Regionalista. Rebé nombrosos encàrrecs de la burgesia i per part de l'església, sent nomenat arquitecte diocesà, de la Catedral de Barcelona, i del Monestir de Montserrat. L'any 1923 el Papa Pius XI li concedí el títol pontifici de marquès de Sagnier, i el 1928 el títol honorífic de cambrer de capa i espasa del Papa. Enric Sagnier va morir a Barcelona, el 2 de setembre de 1931, al carrer de Sant Elies,18, torre (avui, Copèrnic, 86).	30/03/2012		SARRIÀ-SANT GERVASI (05)
4448	701644	Pg	Passeig del Mare Nostrum	Pg Mare Nostrum	Eduard B. Alentorn, escultor, nasqué a Falset, el 5 de desembre de 1855. Al tenir un pare molt conflictiu que va intentar matar als seus dos fills, Eduard no va fer servir el cognom patern. Inscrit a Llotja com a estudiant de dibuix de l'antic, escultura i anatomia pictòrica, finalitzà els estudis el 1874. Entre 1870 i 1882 treballà amb diferents mestres escultors. Els germans Vallmitjana li cediren la realització de la seva primera escultura oficial, La Venus de la Cascada del Parc de la Ciutadella. Estudià també a Roma. Fou un escultor molt prolífic amb una llarga llista d'obres realitzades. Eduard B. Alentorn va morir a Manresa, el 7 de setembre de 1920, on treballava en una nova escultura.	30/03/2012		HORTA-GUINARDÓ (07)
4449	701645	C	Carrer de Joan Ferrándiz	Joan Ferrándiz	El primer port de la Xina com a districte municipal, que depèn directament del govern central. Primer centre industrial de la Xina. Per aquest carrer transiten les mercaderies amb destí a Xangai i viceversa.	15/11/2012		SANTS-MONTJUÏC (03)
4450	701647	C	Carrer del Turó de les Roquetes	Turó Roquetes	Important port de Tarragona, amb dedicació especialment per les seves instal·lacions petroquímiques. Per aquest carrer del port de Barcelona transiten les mercaderies vers el port de Tarragona i viceversa.	15/11/2012	Vial del nou Contradic	SANTS-MONTJUÏC (03)
4451	701648	Jard	Jardins de Gaietà Renom	Jard Gaietà Renom	Actualment autovia C-58. uneix Barcelona amb Sabadell i Terrassa, on enllaça amb l'autopista C-16. Inicialment era coneguda com autopista B-29 i posteriorment s'anomenà A-18. Va tornar a canviar de nom a instància del Servei de Trànsit de Catalunya, gestionat per la Generalitat. Inicialment entrà en funcionament el 1974.	19/11/2012		NOU BARRIS (08)
4452	701649	Jard	Jardins de Mercè Rodoreda	Jard M Rodoreda	Antic casalot del segle XVI catalogat com a patrimoni històric de la Ciutat. El barri de Porta va recuperar la masia, des del 2010, com a nou centre cívic. Als jardins hi ha una palmera centenària de 27 metres d'alçaria.	13/07/2012		NOU BARRIS (08)
4453	701650	C	Carrer de Josefa Rosich	Josefa Rosich	Illa sorrenca situada a uns cent metres de la platja de Barcelona, fins al 1477, any en que es va construir el primer port en aquell indret, sota el regnat del rei Joan II.  L'illa va quedar integrada en la ciutat mitjançant un moll que va afavorir el creixement de nous terrenys guanyats al mar per acumulació de les arenes.	15/11/2012		SANTS-MONTJUÏC (03)
4454	701651	Pl	Plaça de Sant Pol de Mar	Pl Sant Pol de Mar	"Agustí Centelles i Ossó, fotògraf, nasqué a el Grau de València, el 21 de maig de 1909. Membre estacat de l'Agrupació Fotogràfica de Catalunya, amb la seva cambra ""Leica"" treballà de repòrter gràfic en diverses publicacions. Durant la guerra civil realitzà reportatges exhaustius de diferent episodis com les batalles de Belchite, Terol i del front d'Aragó. Fou nomenat cap de la Unitat de serveis Fotogràfics de l'Exèrcit de l'Est, i posteriorment dirigí el departament especial d'informació de l'Estat. Exiliat a França, muntà un laboratori fotogràfic clandestí. L'any 1942 col·laborà amb la resistència francesa. Tornà a Barcelona el 1944 on fou detingut i depurat per les autoritats franquistes. Treballà com a fotògraf i amb la democràcia recuperà el seu arxiu que havia deixat amagat a França amb uns 4.000 negatius. El 1978 realitzà una exposició amb el material recuperat. L'any 1984 fou guardonat amb el Premio Nacional de Artes Plásticas. Va morir a Barcelona el primer de desembre de 1985. El 2009 s'edità la seva obra Diari d'un fotògraf, sobre la seva estada al camp de concentració."	13/07/2012		EIXAMPLE (02)
4455	701652	Ptge	Passatge del Pinsà	Ptge Pinsà	"Escriptora i intel·lectual, nasqué a Barcelona, el 19 de desembre de 1913, al carrer de Petritxol, 8. Va escriure ""El Putxet"", barri on va viure molts anys, amb els seus records i anècdotes. Va redactar un volum amb Joan Gaspar ""Un segle d'art i vida a Barcelona"". Els seus coneixements d'idiomes i la seva disposició i simpatia envers els demès, la dugué a participar en el Concurs d'execució musical ""Maria Canals"" com a col·laboradora incondicional de Maria Canals. Fou membre del Comité organitzador  del Concurs fins al 2004. La seva darrera obra literària fou ""Gala Placídia"". Elvira Farreras va morir a Barcelona el 27 de març del 2005."	22/05/2013		SARRIÀ-SANT GERVASI (05)
4456	701653	Esc	Escales de la Floresta	Esc Floresta	Josep Mula i Sánchez, taxista i fundador social, nasqué a Barcelona, el 8 de novembre de 1919, al carrer de les Carretes, 53. El 1966 anar a viure al Grup d' habitatges La Pau. Fundador de l'Associació de Veïns La Pau, l'any 1968. Directiu de l'equip de futbol del grup del juvenils del Grup d'habitatges i creador de l'equip amateur femení de futbol sala. Taxista de professió, duia al nens en els desplaçaments per competir, gratis. Dedicació incansable als seus veïns, a l'esport i a la joventut. Josep Mula va morir  el 28 de febrer del 2006. Visqué al carrer de Fèlíx Martí Alpera, 8.	22/05/2013		SANT MARTÍ (10)
4457	701654	Jard	Jardins de Santa Rosalia	Jard Santa Rosalia	Sir Edmund Percival Hillary, muntanyenc i explorador, nasqué a Tuakau, Neozelanda, el 20 de juliol de 1919. Fou el primer escalador que aconseguí el cim de l'Everest, a 8.848 metres, el 29 de maig de 1953, acompanyat del sherpa Tenzing Norgay. Sir Edmund va morir a Auckland, l'11 de gener del 2008.	22/05/2013		SARRIÀ-SANT GERVASI (05)
4458	701655	Pl	Plaça d'Haya de la Torre	Pl Haya la Torre	Tenzing Norgay, guia sherpa, nasqué el 25 de maig de 1914, a la vall de Kharta, Nepal. Acompanyà a Edmund Hillary en aconseguir el cim de l'Everest per primera vegada. Tenzing Norgay va morir a Darjeeling, Índia, el 9 de maig de 1986.	22/05/2013		SARRIÀ-SANT GERVASI (05)
4459	701656	Pl	Plaça de Numen Mestre	Pl Numen Mestre	Centre Excursionista els Blaus, fundat el 1920 a Sarrià. El seu objectiu fou el foment i la pràctica de l'excursionisme. Promovent tota classe d'activitats culturals. Clausurat per les autoritats franquistes fou recuperada la seva activitat el 1942. El 1946 va fer una exposició d'art al seu local, antecedent del Grup Dau al Set. Mantingué una colla sardanista durant una temporada i gaudeix de la seva pròpia secció d'arqueologia. El 1995 va rebre la Creu de Sant Jordi i el 2004 la Medalla d'Honor de Barcelona. El nom de l'entitat prové de la roba de treball dels seus fundadors.	22/05/2013		SARRIÀ-SANT GERVASI (05)
4460	701657	Pl	Plaça d'Adolf Marsillach	Pl A Marsillach	Enriqueta Gallinat i Roman, política, nasqué a Barcelona, el 9 de juliol de 1909, al carrer de Ponent 48. Militant d'Esquerra Republicana de Catalunya des del 1931. El 1939 s'exilia a França col·laborant amb les xarxes d'evasió dels fugitius de l'ocupació nazi. El 1943 tornà a Barcelona on fou detinguda i tancada un any a la Presó de Dones de les Corts. Amb la democràcia fou membre de diferents Consells d'ERC, secretària de l'Organització de Dones, membre del Consell Executiu de l'Institut Català de la Dona i Consellera Municipal del Districte de l'Eixample. Fou guardonada amb la Creu de Sant Jordi el 1997, membre fundacional de l'Associació LesDones del 36,que fou guardonat, i la Medalla d'Honor de Barcelona, el 2002. Va morir el 13 de juliol del 2006. Visqué al carrer de Trafalgar, 13.	22/05/2013		EIXAMPLE (02)
4461	701658	Esc	Escales dels Canadencs	Esc Canadencs	Ignàsia Salvans i Casas, metgessa, nasqué a Manresa el 1906. Es llicencià a la nova Facultat de Medicina del carrer de Casanova de Barcelona, el 1928. Formà part de la quarantena de dones que, des del 1906 fins a l'inici de la guerra civil, s'hi havíent graduat. Col·laborà en la càtedra d'Histologia amb el seu marit Diego Ferrer que era professor adjunt, publicant conjuntament  sengles treballs. Es dedicà a la ginecologia i fou cap d'equip quirúrgic de la Seguretat Social. Va fer una tesi doctoral que presentà a la Facultat de Medicina de Cadis, l'any 1959. Tingué consultori propi a Manresa. El 1964 acabà els estudis de Farmàcia, una carrera que havia començat molts anys abans. Va morir a Barcelona, el 23 d'abril de 1970, al passeig de Gràcia 100.	22/05/2013		LES CORTS (04)
4462	701659	Esc	Escales d'Albarrasí	Esc Albarrasí	Rosa Balcells, arpista i professora, nasqué a Barcelona, el 28 de març de 1914, al carrer de Pere Serafí, 35. Comença els estudis de música amb el seu pare, Joan Balcells i Garcia, compositor i fundador de l'Orfeó Gracienc. Estudià durant 5 anys a l'Escola Municipal de Música de Barcelona. Amb una beca de la Fundació Maria Patxot i Rabell, estudià a l'École Normal de Músique de París. Especialitzà en l'arpa. El 1930 tornà a Catalunya, debutant com a solista a l'orquestra de Pau Casals. Tocà també a la Banda Municipal de Barcelona. Professora d'arpa de l'Acadèmia Marshall, després de la guerra civil obtingué la càtedra d'arpa del Conservatori Superior Municipal de Música de Barcelona, del 1940 al 1984. Creà una escola Catalana Moderna d'Arpa, una Associació Catalana d'Arpistes, i el Quartet d'Arpes Rosa Balcells. Realitzà nombrosos concerts a Catalunya i a l'estranger. Va morir el 9 de novembre de 1997.	19/12/2012		LES CORTS (04)
4463	701660	Parc	Parc de Xavier Montsalvatge	Parc X Montsalvatg	"Josep Durall i Pujol, industrial, nasqué el 1903 a la Plaça de Lesseps de Barcelona i desenvolupà tota la seva activitat empresarial al Barri de Sant Martí del Poblenou. Amb els seus pares i germans es va fer càrrec de l'empresa familiar ""Filla de Joaquim Pujol"" i va fundar una industria polivalent (sola de cuir i sabates) ""Josep Durall, Fàbrica de Curtits"" al carrer de Joncar 63 (Poblenou). L'any 1928 participa com a vocal en la fundació del Barcino Lawn Tennis Club. Entre els anys 1928-1938 s'establí a l'Argentina per garantir el subministrament de pells i extractes per curtir per a les seves indústries. L'any 1940 va fundar l'empresa Durall Pujol SA (dedicada al comerç de pells en brut) i simultàniament es va fer càrrec de la SA de Extractos Tánicos, ubicada al carrer de Perelló 23 (Poblenou) i  dedicada a la fabricació d'extractes vegetals derivats del Quebracho (arbre provinent d'Argentina i Paraguai) per curtir pells. Aquesta industria, es va reconvertir cap a l'any 1965 a la fabricació d'extracte de regalèssia (pegadolça i altres articles de confitería) i va estar en funcionament fins l'any 2006, al mateix lloc on ara hi ha aquest passatge. Josep Durall i Pujol va morir a Barcelona, el 23 de setembre de 1994."	19/12/2012		SANT MARTÍ (10)
4464	701661	Plta	Placeta de Lugo	Plta Lugo	En record del Camí de la Farola, que apareix en mapes topogràfics del segle XIX. Aquest camí, que passava per davant de l'església de la Mare de Déu de Port i de l'Hipòdrom de can Tunis, enllaçava l'antiga carretera d' El Prat amb el Far del Llobregat.	22/05/2013		SANTS-MONTJUÏC (03)
4465	701662	Parc	Parc del Centre del Poblenou	Parc C Poblenou	Faroners, encarregats del funcionament dels fars. En homenatge a aquest antic ofici tant necessari per una correcta i segura navegació marítima.	22/05/2013		SANTS-MONTJUÏC (03)
4466	701663	Parc	Parc d'Antoni Santiburcio	Parc A Santiburcio	Projectat pel director del port, l'enginyer Simó Ferrer, fou aprovat el 2 d'abril de 1845. Es va posar en funcionament l'1 de març de 1852, amb llum blanca i el seu pla focal situat a 32,32 metres sobre el nivell del mar. El 1914 es va instal·lar un nou sistema d'il·luminació per vapor de petroli a pressió. El 1952 es va canviar l'òptica i una nova llanterna,que fou inaugurada el 1956.  L'any 1969 fou instal·lat un radiofar AGA tipus NAFS-607. Finalment, el 1986 foren  automatitzats els quadres de control i s'instal·là  una nova llum d'emergència.	22/05/2013		SANTS-MONTJUÏC (03)
4467	701664	C	Carrer d'Antoni Santiburcio	Antoni Santiburcio	Doctor arquitecte, nasqué a Barcelona, el 24 d'agost de 1942, al carrer de Còrsega, 372. Es graduà en Arquitectura a l'Escola Tècnica Superior d'Arquitectura de Barcelona, l'any 1966, escola de la que va ser Catedràtic Numerari de Teoria i Història de l'Arquitectura, aleshores Universitat Politècnica de Catalunya. Graduat en Filosofia i Lletres a la Universitat de Barcelona, el 1968, i doctorat en Arquitectura el 1973. De totes les obres arquitectòniques que va projectar i dirigir destaquem la reconstrucció del Gran Teatre del Liceu, després del seu incendi. Va mori a la ciutat d' Amsterdam el 12 de març del 2001.	30/03/2012		LES CORTS (04)
4468	701665	C	Carrer de Víctor Colomer	Víctor Colomer	"Historiador peruà, nasqué a Lima, el 27 de setembre de 1869. Estudià la carrera d'enginyer i un cop acabada es traslladà a Europa el 1892. Fou comissionat pel govern del Perú per investigar i formar una col·lecció diplomàtica i geogràfica del país. El 1914 fou nomenat director de la Biblioteca Nacional de Lima. Luis Ulloa treballà durant 25 anys en la investigació sobre l'origen de Cristòfor Colom, editant un llibre on exposava la seva tesi:  ""Colón Catalán, la verdadera génesis del descubrimiento de América. Va morir a Barcelona, el 9 de febrer de 1936."	13/07/2012		CIUTAT VELLA (01)
4469	701666	Pg	Passeig de Marta Mata	Pg Marta Mata	"Vicenç Albert Ballester i Camps, militant catalanista, nasqué a Barcelona, el 18 de setembre de 1872, a la plaça de Montcada, 5. Estudià la carrera de Marina obtenin, el 1894, el certificat de pilot mercant, podent navegar com a capità. Deixà la marina per motius de salut. S'establí a Masnou participant en activitats polítiques del catalanisme. Membre del Foment Autonomista Català organitzà els actes de l'11 de setembre de 1908, on fou detingut i empresonat. El 1903 fundà la revista ""La Tralla"". L'any 1915 fou president de l'Escola Mossèn Cinto. El 1918, en acabar la Primera Guerra Mundial, com a impulsor del Comitè Pro Catalunya, difusor de l'esforç dels Voluntaris Catalans a l'esmentada Guerra, va demanar a la Societat de Nacions que doné suport a la independència de Catalunya. En aquest Comitè, Ballester creà la bandera estelada. Fou, des del 1924, el darrer president d'Unió Catalanista. Col·laborà amb nombroses revistes catalanes d'Amèrica. Va morir a El Masnou, el 15 d'agost de 1938."	29/07/2013		CIUTAT VELLA (01)
4470	701667	C	Carrer de Manuel Muñoz	Manuel Muñoz	Montserrat Casals i Baqué, artísta i empresària, nasqué a Cercs, Berguedà, el 1882. Adaptà el pseudònim de Elena Jordi. Introduïda en el món teatral va treballar a la temporada 1908-1909 amb la companyia Teatro Íntimo, dirigida per Adrià Gual. Formà parella artística amb Josep Santpere, actuant la temporada 1909-1910 al Teatro Espanyol. Elena Jordi era molt emprenedora dissenyant i construint el seu propi teatre, a la Via Laietana de Barcelona. No es va inaugurar mai. Més tard una empresa el va obrir com a Palacio del Cinema. L'any 1916 es va atrevir amb la modernitat del cinematògraf, com actriu, productora i directora, sense resultats apreciables. Va morir a Barcelona, el 4 de desembre de 1945, al carrer de Marià Cubí, 98. Era vídua de Josep Capellera.	14/11/2013		SANT MARTÍ (10)
4471	701668	C	Carrer de la Maternitat d'Elna	Maternitat d'Elna	"Carles Oller i Oliveras, sacerdot i mestre, nasqué a Barcelona, el 10 de juliol de 1895, al carrer de les Beates, 3. Havia estat vicari de nombroses parròquies fins al 1931, any en el bisbe de Barcelona, el nomenà rector de l'indret on es va construir més tard la nova església de Santa Maria de Port. Transformà el  barri de Can Tunis amb la creació d'unes escoles per a joves i grans. La matricula de nens arribà als cinc-cents alumnes al 1936, any en que fou interromput l'ensenyament i totes les activitats, per la guerra civil. Crea els anomenats ""avantguardistes"" format per nens i nenes, amb un setmanari, ""Ideal"", escrit a mà. Es construí una escola i es duien a terme tota classe d'activitats. La Federació de joves cristians (Fejocistes), també participà en l'activitat educativa i de lleure a Santa Maria de Port. Mossèn Carles va morir a Barcelona, el 15 d'0ctubre de 1938, al carrer de Ríos Rosas, 61"	05/07/2013		SANTS-MONTJUÏC (03)
4472	701669	Parc	Parc de Joan Reventós	Parc Joan Reventós	Mercè Sala Schnorkowski, economista i política, nasqué a Barcelona, el 12 de maig de 1943. Estudià Ciències Econòmiques. Escollida Regidora de l'Ajuntament de Barcelona  en les legislatures de 1979, 1983 i 1987. Presidenta de Transports Metropolitans de Barcelona. Fou responsable de la primera tinència d'alcaldia, d'Urbanisme i Obres Públiques i també dels Districtes de Gràcia i Sants-Montjuïc. Des de l'any 1991 fou Presidenta de RENFE, després de deixar l'Ajuntament de Barcelona. Va posar en funcionament la primera línia d'alta velocitat d'Espanya. Quan va deixar la Presidència de RENFE passa a ser Presidenta de la Fundació Politècnica de Catalunya, de la Universitat. El 1997 va crear la fundació Factor Humà. L'any 2004 presidí el Consell Social de la Universitat Pompeu Fabra. Des del feber del 2006 va ser Presidenta del Consell de Treball Econòmic i Social de Catalunya. Va morir a Barcelona, el 7 de maig del 2008. Visqué al carrer de Jericó, 27.	18/10/2013		SANT MARTÍ (10)
